x_m;y_m
10.2871;10.6302
10.2491;10.8265
10.2648;11.0259
10.3331;11.2139
10.4490;11.3769
10.6042;11.5030
10.7874;11.5833
10.9853;11.6118
11.1837;11.5865
11.3682;11.5092
11.5254;11.3855
11.6439;11.2244
11.7152;11.0376
11.7341;10.8385
11.6993;10.6415
11.6132;10.4610
11.4820;10.3100
11.3154;10.1994
11.1253;10.1372
10.9255;10.1279
10.7305;10.1722
10.5544;10.2669
10.4099;10.4052
10.3074;10.5770
10.2545;10.7698
10.2549;10.9698
10.3086;11.1625
10.4117;11.3339
10.5567;11.4715
10.7333;11.5656
10.9285;11.6091
11.1282;11.5991
11.3180;11.5361
11.4842;11.4249
11.6148;11.2733
11.7001;11.0925
11.7342;10.8954
11.7145;10.6964
11.6425;10.5098
11.5233;10.3492
11.3657;10.2261
11.1809;10.1496
10.9824;10.1250
10.7846;10.1543
10.6017;10.2353
10.4470;10.3620
10.3317;10.5255
10.2642;10.7137
10.2493;10.9132
10.2881;11.1094
10.3777;11.2881
10.5118;11.4365
10.6807;11.5438
10.8719;11.6021
11.0719;11.6074
11.2660;11.5592
11.4402;11.4610
11.5819;11.3199
11.6809;11.1461
11.7300;10.9522
11.7256;10.7522
11.6680;10.5607
11.5615;10.3914
11.4137;10.2567
11.2354;10.1662
11.0393;10.1265
10.8398;10.1406
10.6513;10.2073
10.4874;10.3219
10.3599;10.4760
10.2781;10.6585
10.2480;10.8562
10.2717;11.0548
10.3474;11.2399
10.4698;11.3981
10.6299;11.5180
10.8161;11.5909
11.0151;11.6114
11.2123;11.5782
11.3935;11.4936
11.5456;11.3637
11.6576;11.1980
11.7214;11.0085
11.7323;10.8088
11.6896;10.6134
11.5964;10.4365
11.4593;10.2908
11.2884;10.1869
11.0960;10.1324
10.8960;10.1311
10.7029;10.1832
10.5307;10.2849
10.3918;10.4288
10.2963;10.6045
10.2511;10.7994
10.2595;10.9992
10.3209;11.1896
10.4308;11.3567
10.5812;11.4884
10.7613;11.5753
10.9581;11.6110
11.1573;11.5930
11.3445;11.5225
11.5061;11.4047
11.6304;11.2481
11.7085;11.0639
11.7347;10.8657
11.7071;10.6676
11.6277;10.4840
11.5022;10.3283
11.3397;10.2117
11.1520;10.1426
10.9527;10.1260
10.7562;10.1631
10.5767;10.2514
10.4272;10.3842
10.3185;10.5521
10.2586;10.7429
10.2516;10.9428
10.2983;11.1373
10.3950;11.3123
10.5350;11.4552
10.7079;11.5557
10.9014;11.6063
11.1014;11.6036
11.2934;11.5477
11.4636;11.4427
11.5996;11.2961
11.6917;11.1185
11.7330;10.9228
11.7207;10.7232
11.6557;10.5341
11.5425;10.3692
11.3895;10.2404
11.2077;10.1570
11.0103;10.1252
10.8115;10.1471
10.6257;10.2212
10.4664;10.3422
10.3452;10.5012
10.2707;10.6869
10.2484;10.8856
10.2799;11.0831
10.3629;11.2651
10.4915;11.4183
10.6562;11.5318
10.8452;11.5972
11.0448;11.6098
11.2405;11.5688
11.4183;11.4771
11.5651;11.3414
11.6705;11.1714
11.7267;10.9794
11.7297;10.7795
11.6793;10.5859
11.5791;10.4128
11.4364;10.2727
11.2615;10.1757
11.0671;10.1288
10.8672;10.1354
10.6763;10.1951
10.5083;10.3035
10.3752;10.4528
10.2867;10.6322
10.2493;10.8287
10.2656;11.0280
10.3344;11.2158
10.4508;11.3784
10.6064;11.5041
10.7898;11.5838
10.9879;11.6117
11.1862;11.5858
11.3704;11.5080
11.5272;11.3839
11.6453;11.2224
11.7160;11.0354
11.7343;10.8362
11.6989;10.6394
11.6123;10.4591
11.4807;10.3085
11.3138;10.1984
11.1235;10.1367
10.9237;10.1280
10.7288;10.1730
10.5529;10.2682
10.4088;10.4069
10.3069;10.5789
10.2545;10.7720
10.2555;10.9720
10.3097;11.1645
10.4134;11.3355
10.5588;11.4728
10.7356;11.5663
10.9310;11.6093
11.1307;11.5986
11.3203;11.5351
11.4862;11.4234
11.6163;11.2714
11.7011;11.0903
11.7346;10.8932
11.7143;10.6942
11.6418;10.5078
11.5221;10.3475
11.3641;10.2250
11.1791;10.1490
10.9805;10.1250
10.7828;10.1549
10.6001;10.2364
10.4458;10.3636
10.3310;10.5274
10.2640;10.7158
10.2497;10.9153
10.2891;11.1114
10.3793;11.2899
10.5138;11.4379
10.6830;11.5446
10.8744;11.6024
11.0744;11.6071
11.2683;11.5583
11.4423;11.4596
11.5836;11.3181
11.6820;11.1440
11.7305;10.9500
11.7256;10.7500
11.6674;10.5586
11.5604;10.3897
11.4122;10.2554
11.2336;10.1654
11.0375;10.1263
10.8380;10.1410
10.6497;10.2083
10.4861;10.3233
10.3591;10.4778
10.2778;10.6606
10.2483;10.8584
10.2725;11.0569
10.3488;11.2418
10.4717;11.3996
10.6321;11.5190
10.8186;11.5913
11.0176;11.6113
11.2147;11.5775
11.3957;11.4923
11.5474;11.3621
11.6589;11.1960
11.7221;11.0063
11.7325;10.8065
11.6892;10.6113
11.5954;10.4346
11.4579;10.2894
11.2867;10.1860
11.0941;10.1320
10.8941;10.1314
10.7012;10.1840
10.5293;10.2862
10.3908;10.4305
10.2958;10.6066
10.2512;10.8015
10.2602;11.0013
10.3221;11.1915
10.4325;11.3583
10.5834;11.4896
10.7638;11.5760
10.9606;11.6111
11.1598;11.5925
11.3467;11.5214
11.5080;11.4031
11.6319;11.2461
11.7094;11.0618
11.7350;10.8634
11.7068;10.6654
11.6268;10.4821
11.5009;10.3268
11.3381;10.2106
11.1502;10.1420
10.9508;10.1261
10.7544;10.1638
10.5752;10.2525
10.4261;10.3858
10.3179;10.5541
10.2585;10.7450
10.2522;10.9449
10.2994;11.1393
10.3967;11.3140
10.5370;11.4565
10.7103;11.5564
10.9039;11.6065
11.1039;11.6032
11.2957;11.5468
11.4656;11.4412
11.6012;11.2942
11.6927;11.1164
11.7334;10.9205
11.7205;10.7210
11.6549;10.5320
11.5413;10.3675
11.3879;10.2391
11.2058;10.1563
11.0083;10.1251
10.8095;10.1476
10.6240;10.2223
10.4651;10.3438
10.3443;10.5032
10.2704;10.6890
10.2487;10.8878
10.2808;11.0852
10.3644;11.2669
10.4934;11.4198
10.6584;11.5327
10.8476;11.5976
11.0473;11.6096
11.2429;11.5680
11.4204;11.4758
11.5668;11.3396
